Song Title,Artist,Year,Filename,Lyrics
Happy Birthday To You,Traditional,1912,01.wav,"Happy birthday to you
Happy birthday to you
Happy birthday dear someone
Happy birthday to you"
Single Ladies,Beyonce,2009,02.wav,"All the single ladies, all the single ladies
All the single ladies, all the single ladies
All the single ladies, all the single ladies
All the single ladies
Now put your hands up"
Need You Now,Lady Antebellum,2010,03.wav,"It's a quarter after one
I'm all alone and I need you now
Said I wouldn't call
But I lost all control and I need you now
And I don't know how I can do without
I just need you now"
Hey Soul Sister,Train,2010,04.wav,"Hey soul sister 
Ain't that mister mister
On the radio, stereo
The way you move ain't fair you know"
