Song Title,Artist,Year,Filename,Lyrics
Earth Angel,The Penguins,1954,earthAngel.mp3,"Earth angel, earth angel
Will you be mine
My darling dear
Love you all the time
I'm just a fool
A fool in love with you"
I Walk The Line,Johnny Cash,1956,iWalkTheLine.mp3,"I keep a close watch on this heart of mine
I keep my eyes wide open all the time
I keep the ends out for the tie that binds
Because you're mine 
I walk the line"
Somewhere Over The Rainbow,Judy Garland,1939,somewhereOverTheRainbow.mp3,"Somewhere over the rainbow
Way up high
There's a land that I've heard of 
Once in a lullaby"
